userID	displayName	sum(weight)
54096	jonnor	28
8517	Alex S Kinman	28
91465	Vincent Yong	27
61756	feynman	27
34153	anymous.asker	27
30107	Rahul Aedula	27
61445	Sandeep Bhutani	27
819	Charlie Greenbacker	27
65655	Uday	27
88255	be1995	27
47359	ShellRox	27
8752	n1tk	27
32926	Michael Grogan	27
8041	j.a.gartner	27
32243	asmgx	27
158	blunders	27
60954	Ugur MULUK	27
52109	marco_gorelli	26
65710	PascalIv	26
14588	knb	26
51812	Eugen	26
53950	AlainD	26
51007	TigSh	26
33701	Kshitiz	26
2573	chewpakabra	26
87355	SKB	26
31086	Carl Rynegardh	26
59085	user2974951	26
37548	IronEdward	26
68154	HFulcher	25
5043	SRS	25
1256	seanv507	25
33020	vizakshat	25
40805	Suren	25
75738	ashukid	25
83887	Rajith Thennakoon	25
38657	moh	25
10936	kpb	25
29788	arduinolover	24
13686	wabbit	24
71113	Grzegorz Sionkowski	24
6478	Brandon Loudermilk	24
62846	不是phd的phd	24
3070	Akavall	24
816	Alexey Grigorev	24
34028	i.n.n.m	24
37109	Landmaster	24
41193	Adelson Araújo	24
74003	MichaelD	24
62018	Spring	24
37059	Taylrl	24
14779	Armen Aghajanyan	23
37330	Andreas Look	23
984	Debasis	23
74118	Syenix	23
12909	Jérémie Clos	23
47412	thebluephantom	23
82167	aminrd	23
514	binga	23
434	Steve Kallestad	23
104104	Anna	23
38506	Boris	23
97227	YuseqYaseq	23
18661	FreedomToWin	23
77102	ten do	23
63906	Robin Nicole	23
66104	kylec123	23
52719	The Lyrist	22
67931	Maths12	22
77881	Obiii	22
62386	Chris Kehl	22
96815	Math	22
1151	GeorgeOfTheRF	22
105299	Anoop A Nair	22
66117	Kahina	22
45726	TQA	22
68025	David Waterworth	22
14372	Archie	22
46055	DPascal	22
42953	Alexey Burnakov	22
107507	Benoit Descamps	21
1426	Alex	21
26	Alex I	21
64138	dungeon	21
122	alvas	21
53760	bstrain	21
2647	Minu	21
32697	redhqs	21
49456	Ghanem	21
102768	Michael Solotky	21
35541	Andrey Lukyanenko	21
6403	Thomas Johnson	21
87193	Giannis Krilis	21
21749	Anshul G.	21
73740	Mr Prof	21
15664	spore234	21
52068	annstudent93	21
39338	Mohit Motwani	21
8432	Blaszard	21
25755	franciscojavierarceo	21
24409	grldsndrs	21
14994	hoaphumanoid	21
53477	user	21
8370	Bogas	21
33759	raghu	20
59087	tsumaranaina	20
24119	user1157751	20
227	Amir Ali Akbari	20
4933	umair durrani	20
45821	koryakinp	20
15533	Monica Heddneck	20
66759	"\"3nomis\""	20
12363	Adam Bittlingmayer	20
73796	zephyr	20
52428	aathiraks	20
71464	Kartikeya Sharma	20
14	Tim Goodman	20
17116	krishna Prasad	20
31608	BlueIvy	20
62097	Sunil	20
51836	Vladislav Gladkikh	20
67483	Wes	20
92285	OneAndOnly	19
30928	Thomas W	19
39830	Learning is a mess	19
31046	hisairnessag3	19
20509	Lukas K.	19
78107	Daniel Möller	19
54229	Faraz Gerrard Jamal	19
182	Ryan J. Smith	19
61634	mahesh ghanta	19
1367	logc	19
20429	Harpal	19
14906	hbaderts	19
66134	SaTa	19
15613	gogasca	19
52994	ubuntu_noob	19
106224	Cameron Chandler	19
30668	lo tolmencre	19
67437	slowmonk	19
25696	Shlomi Schwartz	19
979	Pasmod Turing	19
13450	"\"119631\""	19
890	ragingSloth	19
107691	Allohvk	19
51687	mavavilj	19
58488	from keras import michael	19
18843	Robert de Graaf	19
63540	treutm	19
74855	Sarah	19
29083	Adam Sypniewski	19
17310	Edamame	19
33279	bacloud14	19
13891	Rami	19
2893	James K J	19
7969	Maksim Khaitovich	19
41922	DN1	19
39007	Dave Kielpinski	19
61880	Rejaul Karim	18
15202	lukeA	18
90220	rocksNwaves	18
88088	ml_learner	18
63779	TARBOUN	18
52257	André	18
9988	Rodrigo Nader	18
8152	lennyklb	18
29412	Arpit Sisodia	18
76109	dendog	18
76811	krishna rao gadde	18
24000	tuomastik	18
54509	stefanLopez	18
29451	Dan Jarratt	18
1301	Simon	18
71006	Swapnil Pote	18
58306	Giordano	18
31038	HilaD	18
54623	FabioSpaghetti	18
58589	Atuos	18
47488	Pavel Savine	18
67502	Deepak	18
68260	astel	18
27250	horaceT	18
32492	Shaido	18
26146	hh32	18
7848	Vladislavs Dovgalecs	18
16712	Carlos C	18
59904	Lapatrie	18
59446	ZelelB	18
82815	Philipp	18
83161	Samarth	18
51659	Mankind_008	17
83084	nilsinelabore	17
100122	Ishan Dutta	17
50862	Data	17
1077	Pete	17
98182	bonfab	17
7812	william007	17
77831	EArwa	17
14586	FraserOfSmeg	17
91758	thenoirlatte	17
45901	Elmex80s	17
14578	David Dao	17
28129	tony	17
65574	Akshay Dodhiwala	17
2861	user3791372	17
60292	Preet	17
13155	mach	17
43472	Lafayette	17
9943	Azrael	17
75474	mirimo	17
63031	Random Nerd	17
7966	mic	17
3024	Michael Hooreman	17
7730	Robert Long	17
75055	Yash Jakhotiya	17
76779	J.Smith	17
24005	xtluo	17
93933	Derek O	17
20517	Rahul Sharma	17
105502	Sid	17
14313	Tu N.	17
25615	dayum	17
49454	Siladittya	17
62521	Alexander Vocaet	17
52816	Latent	17
8320	Johann	17
54246	tenshi	17
62752	Code Now	16
69484	Shivanya	16
78674	Vlad_Z	16
45191	jacob	16
66737	dbm	16
89502	Nedisha	16
18150	Syed Ali Hamza	16
13417	pinky	16
24830	Silviu Tofan	16
17305	DavideChicco.it	16
91148	Gerry P	16
94070	tedd	16
69248	Badum	16
42488	Nidhi Garg	16
94454	nwaldo	16
99838	Tim von Känel	16
18247	Andrew Maurer	16
78808	justRandomLearner	16
47403	Suhail Gupta	16
96187	Kirill Fedyanin	16
74397	Ashwin Geet D'Sa	16
69093	Edoardo Guerriero	16
51541	Adrien D	16
84971	LiamFiddler	16
79448	TJCLK	16
104959	Dhruv Agarwal	16
12202	Gary	16
63282	Desmond	16
74313	DataFramed	16
64500	Hermes Morales	16
49517	maurock	16
12527	Laurent Duval	16
17538	E_net4 the curator	16
38395	Smith Volka	15
52670	Andrew Spittlemeister	15
20907	Icarus	15
6391	TheGrimmScientist	15
46360	Muralidhar A	15
12533	kms	15
34322	user8272359	15
62938	Nagabhushan S N	15
44668	Robot_enthusiast	15
17959	Darrin Thomas	15
867	cap	15
37626	RAVI TEJA M	15
99063	Tobitor	15
41692	Revolucion for Monica	15
98078	xxanissrxx	15
77162	Tasty213	15
57731	Noran	15
6514	pnv	15
59387	Sudhi	15
27426	Rahul Reddy Vemireddy	15
45431	Kailegh	15
31822	Dhruv Mahajan	15
96312	martin	15
82016	Danny Cupper	15
69557	Karthik Rajkumar	15
53001	user113156	15
53940	RLave	15
18098	TdBm	15
90387	Selvam	15
5177	eliasah	15
26127	Sal	15
9085	lanenok	15
46785	GrozaiL	15
64096	maksym33	15
941	sobach	15
99648	sums22	15
90226	ASH	15
106358	Burger	15
26522	mc8	15
41557	shiva	15
63654	William Scott	15
54836	Timur	15
8275	Will Stanton	15
14310	Bhagyesh Vikani	15
79934	bogovicj	15
27741	Pinkesh Badjatiya	14
44477	DukeLover	14
83473	Aj_MLstater	14
49997	Ayush Ranjan	14
12575	Derek Janni	14
27632	Samuel Sherman	14
32440	Adrian Keister	14
21988	user1877600	14
16928	thanks_in_advance	14
31457	f.g.	14
49752	Neno M.	14
32429	Simone	14
33934	kenny	14
18375	Maxim	14
64533	LaSul	14
12237	William	14
3506	rbk	14
85516	Jeanba	14
56159	hadeer	14
31245	Snympi	14
37814	off99555	14
59010	ASS466uiuc	14
43215	gingermander	14
59385	Fred	14
38492	Atinesh	14
67366	Nikos	14
6550	Valentas	14
61484	Naveen Meka	14
